symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
3MINDIA,25788.0,22882.0,1650.0,83.65,0.0,29.16,19.02,9.49,10.0
ACC,28827.0,1535.0,584.47,15.84,0.91,15.86,15.14,8.13,10.0
AIAENG,16229.0,1721.0,336.8,41.32,0.52,17.45,12.34,15.96,2.0
APLAPOLLO,3415.0,1408.0,415.57,28.47,0.98,16.31,13.15,25.78,10.0
AUBANK,19013.0,647.85,68.13,38.39,0.12,8.97,14.7,41.16,10.0
AAVAS,13236.0,1693.0,235.0,69.25,0.0,10.86,11.62,54.94,10.0
ABBOTINDIA,23341.0,10984.0,945.22,48.14,0.59,37.36,24.0,12.06,10.0
ADANIGAS,16365.0,148.8,10.11,60.61,0.17,24.84,24.06,15.05,1.0
ADANIGREEN,13896.0,88.85,13.8,,0.0,5.72,-2.45,,10.0
ADANIPORTS,83129.0,409.15,100.86,29.19,0.05,13.41,13.88,4.93,2.0
ADANIPOWER,24009.0,62.25,44.41,,0.0,5.11,-2.4,-42.63,10.0
ADANITRANS,25620.0,232.95,46.9,2005.0,0.0,8.38,2.1,44.78,10.0
ABCAPITAL,16828.0,76.4,33.12,,0.0,1.29,0.27,190.0,10.0
ABFRL,15743.0,203.5,18.47,46.69,0.0,12.33,25.56,10.39,10.0
ADVENZYMES,1687.0,151.1,28.61,44.83,0.4,14.87,11.6,16.87,2.0
AEGISCHEM,5579.0,164.25,23.85,49.07,0.84,14.36,11.22,25.75,1.0
AJANTPHARM,8588.0,984.15,245.48,23.56,0.92,25.22,19.24,4.05,2.0
AKZOINDIA,8864.0,1946.0,249.35,39.55,1.23,24.15,15.97,3.4,10.0
APLLTD,10351.0,549.1,143.89,15.86,1.0,23.58,24.82,6.75,2.0
ALKEM,22943.0,1919.0,457.09,26.04,0.83,17.09,15.48,13.47,2.0
ALBK,9230.0,24.8,24.53,,0.0,0.92,-85.92,-3.7,10.0
ALLCARGO,2446.0,99.55,54.58,11.01,3.52,13.92,14.96,7.74,2.0
AMARAJABAT,11446.0,670.1,195.26,22.38,1.06,23.0,15.38,13.73,1.0
AMBER,2861.0,909.9,310.12,25.49,0.0,14.28,9.9,30.1,10.0
AMBUJACEM,41083.0,206.9,108.34,24.38,0.72,8.37,7.69,6.44,2.0
ANDHRABANK,4790.0,16.05,44.11,,0.0,4.08,-23.24,2.39,10.0
APOLLOHOSP,20691.0,1487.0,279.14,64.28,0.4,10.64,8.06,14.71,5.0
APOLLOTYRE,10354.0,181.0,133.58,15.31,1.8,11.36,9.91,12.15,1.0
ARVINDFASN,2563.0,436.85,230.04,47.33,0.0,5.97,4.78,,4.0
ASHOKLEY,21576.0,73.5,28.38,11.72,4.22,29.53,25.53,15.34,1.0
ASHOKA,2799.0,99.7,78.8,9.02,0.0,21.74,15.24,25.39,5.0
ASIANPAINT,173835.0,1812.0,92.66,77.5,0.58,38.21,25.48,11.48,1.0
ASTERDM,5916.0,117.1,58.99,130.43,0.0,2.15,1.81,46.52,10.0
ASTRAZEN,5748.0,2299.0,120.32,82.64,0.0,26.51,19.87,8.91,2.0
ASTRAL,17668.0,1173.0,76.59,114.08,0.05,21.17,14.04,13.28,1.0
ATUL,12482.0,4208.0,893.31,26.32,0.36,26.94,17.62,16.85,10.0
AUROPHARMA,27331.0,466.45,193.72,16.72,0.54,14.92,14.42,10.21,1.0
AVANTIFEED,5305.0,389.4,77.97,23.67,1.03,31.56,20.9,12.27,1.0
DMART,120174.0,1926.0,100.4,106.47,0.0,26.09,18.15,36.61,10.0
AXISBANK,200246.0,710.3,236.51,37.46,0.13,5.62,7.21,10.29,2.0
BASF,4094.0,945.7,326.38,,0.53,1.33,-2.45,8.26,10.0
BEML,3796.0,911.55,525.28,29.89,0.77,7.27,2.89,5.31,10.0
BSE,2364.0,524.95,583.29,13.2,6.57,7.92,7.3,5.19,2.0
BAJAJ-AUTO,90037.0,3112.0,752.67,20.24,1.93,30.72,21.54,10.25,10.0
BAJAJCON,3865.0,261.95,40.76,16.33,5.34,57.45,46.65,4.54,1.0
BAJAJELEC,3931.0,383.65,105.19,27.31,0.91,17.36,16.54,13.19,2.0
BAJFINANCE,232909.0,4016.0,299.48,55.7,0.15,13.02,21.98,33.55,2.0
BAJAJFINSV,132349.0,8317.0,198.63,438.87,0.03,10.79,10.17,21.59,5.0
BAJAJHLDNG,41023.0,3686.0,987.46,54.44,0.88,8.58,7.43,-10.68,10.0
BALKRISIND,15361.0,794.6,242.02,21.11,1.01,21.64,16.85,17.66,2.0
BALMLAWRIE,1953.0,171.3,114.05,10.99,6.42,21.6,14.41,3.65,10.0
BALRAMCHIN,3268.0,148.55,94.67,5.41,1.75,19.54,30.62,15.85,1.0
BANDHANBNK,67829.0,568.5,93.89,31.24,0.53,10.48,18.96,,10.0
BANKBARODA,34236.0,89.0,119.43,55.66,0.0,4.41,0.94,4.29,2.0
BANKINDIA,20874.0,63.7,127.2,,0.0,2.98,-15.48,-0.83,10.0
MAHABANK,5591.0,9.6,9.85,,0.0,1.28,-61.01,-5.98,10.0
BATAINDIA,22452.0,1747.0,135.89,64.55,0.36,30.67,20.52,6.63,5.0
BAYERCROP,14709.0,3273.0,419.07,88.53,0.42,20.64,13.03,-1.01,10.0
BERGEPAINT,47245.0,486.5,24.43,96.65,0.39,29.93,19.9,12.65,1.0
BDL,5138.0,280.35,123.77,12.65,2.47,31.6,19.78,-9.04,10.0
BEL,27582.0,113.2,37.01,14.13,3.0,32.21,22.97,18.15,1.0
BHARATFORG,21075.0,452.65,115.94,20.85,1.1,21.64,21.06,14.58,2.0
BHEL,15530.0,44.6,90.18,18.41,4.48,7.24,3.76,6.02,2.0
BPCL,111348.0,513.3,169.36,18.83,3.36,18.92,19.86,16.42,10.0
BHARTIARTL,198017.0,385.85,191.66,,0.5,0.01,-4.42,-6.3,5.0
INFRATEL,47526.0,256.95,84.69,27.81,5.84,20.2,15.08,7.07,10.0
BIOCON,30966.0,258.05,59.3,110.06,0.19,4.82,4.79,7.81,5.0
BIRLACORPN,4185.0,543.4,548.76,21.09,1.38,5.2,2.88,10.62,10.0
BSOFT,1790.0,64.75,42.83,12.93,3.06,13.37,11.86,-7.4,2.0
BLISSGVS,1209.0,117.25,58.51,16.95,0.85,19.16,13.26,9.34,1.0
BLUEDART,5443.0,2294.0,280.14,77.63,0.55,18.0,13.64,7.45,10.0
BLUESTARCO,7973.0,827.8,99.78,54.34,1.21,19.5,14.75,10.66,2.0
BBTC,8085.0,1159.0,36.84,,0.09,2.08,-7.69,0.14,2.0
BOMDYEING,1566.0,75.8,8.75,1.16,1.98,45.23,298.0,33.95,2.0
BOSCHLTD,41275.0,13994.0,3094.0,27.47,0.75,24.63,16.72,8.11,10.0
BRIGADE,3908.0,191.3,112.92,16.9,0.7,12.37,9.81,4.8,10.0
BRITANNIA,78052.0,3248.0,168.09,68.69,0.46,47.13,30.83,10.68,1.0
CARERATING,1565.0,531.35,186.57,12.77,5.65,35.29,24.05,3.94,10.0
CCL,3056.0,229.75,48.79,16.65,1.52,19.11,20.17,6.11,2.0
CESC,10475.0,790.25,736.51,10.8,2.23,11.11,9.47,4.49,10.0
CGPOWER,902.52,14.4,40.1,11.02,0.0,7.0,1.31,3.26,2.0
CRISIL,9578.0,1325.0,108.05,37.34,2.26,46.65,33.93,7.33,1.0
CADILAHC,24345.0,237.8,87.49,17.76,1.47,16.98,18.28,-2.62,1.0
CANFINHOME,5132.0,385.4,133.84,17.12,0.52,9.67,18.15,16.83,2.0
CANBK,14048.0,186.5,480.29,35.6,0.0,4.71,0.97,2.07,10.0
CAPLIPOINT,2984.0,394.45,57.12,17.88,0.56,55.26,40.36,32.41,2.0
CGCL,3587.0,204.8,77.17,26.73,0.18,11.29,9.91,38.92,2.0
CARBORUNIV,5675.0,299.85,67.47,33.0,0.92,20.29,13.56,11.32,1.0
CASTROLIND,13096.0,132.4,12.21,17.94,3.78,101.0,64.81,5.79,5.0
CEATLTD,3920.0,969.1,680.11,11.75,1.24,14.6,12.19,7.82,10.0
CENTRALBK,6993.0,16.95,45.89,,0.0,2.4,-30.54,-4.37,10.0
CDSL,2187.0,209.3,51.92,24.74,1.91,20.97,16.14,16.99,10.0
CENTURYPLY,3486.0,156.9,43.62,21.58,0.64,17.81,17.5,11.44,1.0
CERA,3196.0,2457.0,538.34,28.12,0.53,27.16,17.59,13.57,5.0
CHALET,6475.0,315.8,73.1,,0.0,7.99,-0.64,19.23,10.0
CHAMBLFERT,6435.0,154.6,77.86,8.06,1.29,11.93,21.46,4.8,10.0
CHENNPETRO,2412.0,161.95,222.25,,0.0,1.34,-5.2,16.93,10.0
CHOLAHLDNG,8686.0,462.75,56.71,130.31,0.27,6.81,6.38,-75.11,1.0
CHOLAFIN,21157.0,270.6,78.99,17.41,0.48,10.81,21.04,18.59,2.0
CIPLA,35975.0,446.3,195.79,16.41,0.67,15.98,12.09,0.7,2.0
CUB,15952.0,216.95,65.84,22.57,0.23,7.46,15.13,8.56,1.0
COALINDIA,122885.0,199.4,22.71,11.72,6.57,79.28,78.45,72.76,10.0
COCHINSHIP,4342.0,330.1,253.31,8.77,3.94,22.24,14.48,14.18,10.0
COFFEEDAY,740.43,35.05,85.6,,0.0,2.26,-3.34,67.5,10.0
COLPAL,41625.0,1530.0,53.19,54.94,1.5,72.97,50.87,4.88,1.0
CONCOR,36521.0,599.4,170.16,30.67,1.43,16.5,12.29,5.14,5.0
COROMANDEL,12037.0,411.45,117.38,17.06,1.58,22.69,23.06,4.8,1.0
CORPBANK,8302.0,13.85,27.63,,0.0,0.97,-46.2,-6.98,2.0
COX&KINGS,42.37,2.4,173.18,0.28,41.67,8.55,6.0,76.06,5.0
CREDITACC,9057.0,629.8,164.45,26.23,0.0,14.89,16.93,40.25,10.0
CROMPTON,16523.0,263.5,17.52,39.26,0.76,39.0,42.64,35.93,2.0
CUMMINSIND,15799.0,569.95,149.01,23.2,2.98,23.56,17.39,6.32,2.0
CYIENT,4923.0,447.65,203.37,11.46,3.36,25.24,20.51,9.04,5.0
DBCORP,2731.0,156.1,102.98,9.12,6.4,21.96,14.61,6.34,10.0
DCBBANK,5620.0,181.25,100.44,16.68,0.55,7.61,11.0,21.43,10.0
DCMSHRIRAM,6168.0,388.2,223.59,6.84,2.49,28.17,26.65,10.24,2.0
DLF,40558.0,163.85,93.24,53.84,1.09,5.51,3.1,-3.1,2.0
DABUR,81709.0,462.4,22.46,62.52,0.59,34.86,30.84,4.98,1.0
DALBHARAT,15579.0,807.35,392.83,167.51,0.25,1.37,1.17,,2.0
