symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
3MINDIA,24560.0,21792.0,1650.0,79.67,0.0,29.16,19.02,9.49,10.0
ACC,29174.0,1554.0,584.47,16.03,0.9,15.86,15.14,8.13,10.0
AIAENG,16498.0,1750.0,336.8,42.01,0.51,17.45,12.34,15.96,2.0
APLAPOLLO,3376.0,1392.0,415.57,28.15,0.99,16.31,13.15,25.78,10.0
AUBANK,19205.0,654.4,68.13,38.77,0.11,8.97,14.7,41.16,10.0
AAVAS,13100.0,1676.0,235.0,68.53,0.0,10.86,11.62,54.94,10.0
ABBOTINDIA,22747.0,10705.0,945.22,46.91,0.61,37.36,24.0,12.06,10.0
ADANIGAS,16607.0,151.0,10.11,61.51,0.17,24.84,24.06,15.05,1.0
ADANIPORTS,85679.0,421.7,100.86,30.08,0.05,13.41,13.88,4.93,2.0
ADANIPOWER,24742.0,64.15,44.41,-1.0,0.0,5.11,-2.4,-42.63,10.0
ADANITRANS,26186.0,238.1,46.9,2049.0,0.0,8.38,2.1,44.78,10.0
ABFRL,16184.0,209.2,18.47,48.0,0.0,12.33,25.56,10.39,10.0
ADVENZYMES,1721.0,154.15,28.61,45.74,0.39,14.87,11.6,16.87,2.0
AEGISCHEM,5759.0,169.55,23.85,50.65,0.81,14.36,11.22,25.75,1.0
AJANTPHARM,8834.0,1012.0,245.48,24.23,0.89,25.22,19.24,4.05,2.0
AKZOINDIA,9145.0,2008.0,249.35,40.8,1.2,24.15,15.97,3.4,10.0
APLLTD,10254.0,544.0,143.89,15.72,1.01,23.58,24.82,6.75,2.0
ALKEM,23422.0,1959.0,457.09,26.59,0.82,17.09,15.48,13.47,2.0
ALBK,9565.0,25.7,24.53,-1.0,0.0,0.92,-85.92,-3.7,10.0
ALLCARGO,2490.0,101.35,54.58,11.21,3.45,13.92,14.96,7.74,2.0
AMARAJABAT,11419.0,668.5,195.26,22.33,1.06,23.0,15.38,13.73,1.0
AMBER,2948.0,937.5,310.12,26.27,0.0,14.28,9.9,30.1,10.0
AMBUJACEM,41232.0,207.65,108.34,23.68,0.72,8.37,7.69,6.44,2.0
APOLLOHOSP,20977.0,1508.0,279.14,65.16,0.4,10.64,8.06,14.71,5.0
APOLLOTYRE,10643.0,186.05,133.58,15.74,1.75,11.36,9.91,12.15,1.0
ARVINDFASN,2587.0,440.85,230.04,47.76,0.0,5.97,4.78,0.0,4.0
ASHOKLEY,22750.0,77.5,28.38,12.36,4.0,29.53,25.53,15.34,1.0
ASHOKA,2918.0,103.95,78.8,9.41,0.0,21.74,15.24,25.39,5.0
ASIANPAINT,174262.0,1817.0,92.66,77.69,0.58,38.21,25.48,11.48,1.0
ASTERDM,5972.0,118.2,58.99,131.65,0.0,2.15,1.81,46.52,10.0
ASTRAZEN,5696.0,2278.0,120.32,81.88,0.0,26.51,19.87,8.91,2.0
ASTRAL,17554.0,1165.0,76.59,113.34,0.05,21.17,14.04,13.28,1.0
ATUL,12503.0,4216.0,893.31,26.37,0.36,26.94,17.62,16.85,10.0
AUROPHARMA,27917.0,476.45,193.72,17.07,0.52,14.92,14.42,10.21,1.0
AVANTIFEED,5549.0,407.3,77.97,24.76,0.98,31.56,20.9,12.27,1.0
DMART,120127.0,1925.0,100.4,106.42,0.0,26.09,18.15,36.61,10.0
AXISBANK,200035.0,709.55,236.51,37.42,0.13,5.62,7.21,10.29,2.0
BEML,3980.0,955.7,525.28,31.34,0.73,7.27,2.89,5.31,10.0
BSE,2376.0,527.65,583.29,13.27,6.54,7.92,7.3,5.19,2.0
BAJAJ-AUTO,89329.0,3087.0,752.67,20.08,1.94,30.72,21.54,10.25,10.0
BAJAJCON,3896.0,264.05,40.76,16.46,5.3,57.45,46.65,4.54,1.0
BAJAJELEC,4077.0,397.95,105.19,28.33,0.88,17.36,16.54,13.19,2.0
BAJFINANCE,239940.0,4138.0,299.48,57.38,0.14,13.02,21.98,33.55,2.0
BAJAJFINSV,131542.0,8266.0,198.63,436.19,0.03,10.79,10.17,21.59,5.0
BAJAJHLDNG,41650.0,3743.0,987.46,55.28,0.87,8.58,7.43,-10.68,10.0
BALKRISIND,16186.0,837.3,242.02,22.24,0.96,21.64,16.85,17.66,2.0
BALMLAWRIE,2010.0,176.35,114.05,11.31,6.24,21.6,14.41,3.65,10.0
BALRAMCHIN,3365.0,152.95,94.67,5.57,1.7,19.54,30.62,15.85,1.0
BANDHANBNK,66182.0,554.7,93.89,30.49,0.54,10.48,18.96,0.0,10.0
BANKBARODA,34544.0,89.8,119.43,56.16,0.0,4.41,0.94,4.29,2.0
BANKINDIA,21038.0,64.2,127.2,-1.0,0.0,2.98,-15.48,-0.83,10.0
MAHABANK,5679.0,9.75,9.85,-1.0,0.0,1.28,-61.01,-5.98,10.0
BATAINDIA,22738.0,1769.0,135.89,65.37,0.35,30.67,20.52,6.63,5.0
BAYERCROP,14868.0,3308.0,419.07,89.49,0.42,20.64,13.03,-1.01,10.0
BERGEPAINT,48464.0,499.05,24.43,99.14,0.38,29.93,19.9,12.65,1.0
BDL,5260.0,287.0,123.77,12.95,2.41,31.6,19.78,-9.04,10.0
BEL,28398.0,116.55,37.01,14.55,2.92,32.21,22.97,18.15,1.0
BHARATFORG,20756.0,445.8,115.94,20.53,1.12,21.64,21.06,14.58,2.0
BHEL,18925.0,54.35,90.18,22.43,3.68,7.24,3.76,6.02,2.0
BPCL,112866.0,520.3,169.36,19.08,3.31,18.92,19.86,16.42,10.0
BHARTIARTL,196811.0,383.5,191.66,-1.0,0.51,0.01,-4.42,-6.3,5.0
INFRATEL,48386.0,261.6,84.69,28.31,5.73,20.2,15.08,7.07,10.0
BIOCON,31134.0,259.45,59.3,110.66,0.19,4.82,4.79,7.81,5.0
BIRLACORPN,4514.0,586.1,548.76,22.75,1.28,5.2,2.88,10.62,10.0
BSOFT,1825.0,66.0,42.83,13.18,3.0,13.37,11.86,-7.4,2.0
BLISSGVS,1322.0,128.2,58.51,18.54,0.78,19.16,13.26,9.34,1.0
BLUEDART,5420.0,2284.0,280.14,77.31,0.55,18.0,13.64,7.45,10.0
BLUESTARCO,8018.0,832.5,99.78,54.65,1.2,19.5,14.75,10.66,2.0
BOMDYEING,1597.0,77.3,8.75,1.18,1.94,45.23,298.0,33.95,2.0
BOSCHLTD,41703.0,14140.0,3094.0,27.75,0.74,24.63,16.72,8.11,10.0
BRIGADE,4044.0,197.95,112.92,17.49,0.67,12.37,9.81,4.8,10.0
BRITANNIA,78160.0,3252.0,168.09,68.78,0.46,47.13,30.83,10.68,1.0
CARERATING,1517.0,514.95,186.57,12.38,5.83,35.29,24.05,3.94,10.0
CCL,3028.0,227.65,48.79,16.5,1.54,19.11,20.17,6.11,2.0
CESC,10772.0,812.65,736.51,11.11,2.16,11.11,9.47,4.49,10.0
CGPOWER,946.39,15.1,40.1,11.55,0.0,7.0,1.31,3.26,2.0
CRISIL,9925.0,1373.0,108.05,38.69,2.18,46.65,33.93,7.33,1.0
CADILAHC,24636.0,240.65,87.49,17.97,1.45,16.98,18.28,-2.62,1.0
CANFINHOME,5353.0,402.0,133.84,17.86,0.5,9.67,18.15,16.83,2.0
CANBK,14225.0,188.85,480.29,36.05,0.0,4.71,0.97,2.07,10.0
CAPLIPOINT,3002.0,396.85,57.12,17.99,0.55,55.26,40.36,32.41,2.0
CGCL,3644.0,208.05,77.17,27.16,0.17,11.29,9.91,38.92,2.0
CARBORUNIV,5844.0,308.75,67.47,33.98,0.89,20.29,13.56,11.32,1.0
CASTROLIND,13234.0,133.8,12.21,18.13,3.74,101.0,64.81,5.79,5.0
CEATLTD,3911.0,966.85,680.11,11.72,1.24,14.6,12.19,7.82,10.0
CENTRALBK,7158.0,17.35,45.89,-1.0,0.0,2.4,-30.54,-4.37,10.0
CDSL,2184.0,209.0,51.92,24.71,1.91,20.97,16.14,16.99,10.0
CENTURYPLY,3614.0,162.65,43.62,22.37,0.62,17.81,17.5,11.44,1.0
CERA,3365.0,2587.0,538.34,29.62,0.5,27.16,17.59,13.57,5.0
CHAMBLFERT,6468.0,155.4,77.86,8.1,1.29,11.93,21.46,4.8,10.0
CHOLAHLDNG,8727.0,464.9,56.71,130.92,0.27,6.81,6.38,-75.11,1.0
CHOLAFIN,23651.0,302.5,78.99,19.46,0.43,10.81,21.04,18.59,2.0
CIPLA,35803.0,444.15,195.78,16.33,0.68,15.98,12.09,0.7,2.0
CUB,15849.0,215.55,65.84,22.42,0.23,7.46,15.13,8.56,1.0
COALINDIA,126921.0,205.95,22.71,12.11,6.36,79.28,78.45,72.76,10.0
COCHINSHIP,4331.0,329.25,253.31,8.75,3.95,22.24,14.48,14.18,10.0
COLPAL,41908.0,1541.0,53.19,55.31,1.49,72.97,50.87,4.88,1.0
CONCOR,37258.0,611.5,170.16,31.29,1.4,16.5,12.29,5.14,5.0
COROMANDEL,12239.0,418.35,117.38,17.35,1.55,22.69,23.06,4.8,1.0
CORPBANK,8542.0,14.25,27.63,-1.0,0.0,0.97,-46.2,-6.98,2.0
